"OS_NAME,PT_NAME,Timebase,Derivation,Timestamp,Value,Manual"
"BME_TW,RAIN_G,5M,VAL,06:30 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,06:25 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,06:20 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,06:15 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,06:10 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,06:05 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,06:00 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,05:55 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,05:50 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,05:45 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,05:40 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,05:35 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,05:30 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,05:25 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,05:20 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,05:15 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,05:10 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,05:05 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,05:00 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,04:55 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,04:50 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,04:45 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,04:40 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,04:35 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,04:30 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,04:25 11-SEP-2011,0.000000,"
