Address,Heritage Value
102 Yates Street  ,Designated Heritage Conservation District
107 Yates Street  ,Designated Heritage Conservation District
110 Yates Street  ,Designated Heritage Conservation District
12 Yates Street  ,Designated Heritage Conservation District
16 Yates Street  ,Designated Heritage Conservation District
17 Yates Street  ,Designated Heritage Conservation District
18 Yates Street  ,Designated Heritage Conservation District
19 Yates Street  ,Designated Heritage Conservation District
20 Yates Street  ,Designated Heritage Conservation District
23 Yates Street  ,Designated Heritage Conservation District
24 Yates Street  ,Designated Heritage Conservation District
24A Yates Street  ,Designated Heritage Conservation District
25 Yates Street  ,Designated Heritage Conservation District
26 Yates Street  ,Designated Heritage Conservation District
27 Yates Street  ,Designated Heritage Conservation District
27A Yates Street  ,Designated Heritage Conservation District
28 Yates Street  ,Designated Heritage Conservation District
29 Yates Street  ,Designated Heritage Conservation District
29/ Yates Street  ,Designated Heritage Conservation District
29A Yates Street  ,Designated Heritage Conservation District
30 Yates Street  ,Designated Heritage Conservation District
31 Yates Street  ,Designated Heritage Conservation District
32 Yates Street  ,Designated Heritage Conservation District
33 Yates Street  ,Designated Heritage Conservation District
34 Yates Street  ,Designated Heritage Conservation District
35 Yates Street  ,Designated Heritage Conservation District
37 Yates Street  ,Designated Heritage Conservation District
38 Yates Street  ,Designated Heritage Conservation District
39 Yates Street  ,Designated Heritage Conservation District
40 Yates Street  ,Designated Heritage Conservation District
41 Yates Street  ,Designated Heritage Conservation District
42 Yates Street  ,Designated Heritage Conservation District
43 Yates Street  ,Designated Heritage Conservation District
44 Yates Street  ,Designated Heritage Conservation District
45 Yates Street  ,Designated Heritage Conservation District
45/ Yates Street  ,Designated Heritage Conservation District
46 Yates Street  ,Designated Heritage Conservation District
47 Yates Street  ,Designated Heritage Conservation District
49 Yates Street  ,Designated Heritage Conservation District
50 Yates Street  ,Designated Heritage Conservation District
50/ Yates Street  ,Designated Heritage Conservation District
51 Yates Street  ,Designated Heritage Conservation District
52 Yates Street  ,Designated Heritage Conservation District
53 Yates Street  ,Designated Heritage Conservation District
54 Yates Street  ,Designated Heritage Conservation District
55 Yates Street  ,Designated Heritage Conservation District
56 Yates Street  ,Designated Heritage Conservation District
57 Yates Street  ,Designated Heritage Conservation District
58 Yates Street  ,Designated Heritage Conservation District
59 Yates Street  ,Designated Heritage Conservation District
60 Yates Street  ,Designated Heritage Conservation District
61 Yates Street  ,Designated Heritage Conservation District
62 Yates Street  ,Designated Heritage Conservation District
63 Yates Street  ,Designated Heritage Conservation District
64 Yates Street  ,Designated Heritage Conservation District
65 Yates Street  ,Designated Heritage Conservation District
66 Yates Street  ,Designated Heritage Conservation District
67 Yates Street  ,Designated Heritage Conservation District
68 Yates Street  ,Designated Heritage Conservation District
75 Yates Street  ,Designated Heritage Conservation District
79 Bradley Street  ,Individually Designated Heritage Properties
134 Church Street  ,Individually Designated Heritage Properties
85 Church Street  ,Individually Designated Heritage Properties
82 Dalhousie Avenue  ,Individually Designated Heritage Properties
38 Lakeport Road  ,Individually Designated Heritage Properties
50 Lakeport Road  ,Individually Designated Heritage Properties
69A Lakeport Road  ,Individually Designated Heritage Properties
11 Main Street  ,Individually Designated Heritage Properties
41 Main Street  ,Individually Designated Heritage Properties
9 Main Street  ,Individually Designated Heritage Properties
95 Main Street  ,Individually Designated Heritage Properties
525 Ontario Street  ,Individually Designated Heritage Properties
1317 Pelham Road  ,Individually Designated Heritage Properties
2 Academy Street  ,Register of Non-Designated Heritage Properties
23 Academy Street  ,Register of Non-Designated Heritage Properties
30 Academy Street  ,Register of Non-Designated Heritage Properties
32 Academy Street  ,Register of Non-Designated Heritage Properties
15 Artists' Common  ,Register of Non-Designated Heritage Properties
104 Church Street  ,Register of Non-Designated Heritage Properties
23 Church Street  ,Register of Non-Designated Heritage Properties
53 Church Street  ,Register of Non-Designated Heritage Properties
67 Church Street  ,Register of Non-Designated Heritage Properties
83 Church Street  ,Register of Non-Designated Heritage Properties
97 Church Street  ,Register of Non-Designated Heritage Properties
39 Court Street  ,Register of Non-Designated Heritage Properties
3 Cricket Hollow Road  ,Register of Non-Designated Heritage Properties
7 Embassy Avenue  ,Register of Non-Designated Heritage Properties
4 Garden Park  ,Register of Non-Designated Heritage Properties
19 Geneva Street  ,Register of Non-Designated Heritage Properties
3 Geneva Street  ,Register of Non-Designated Heritage Properties
64 Geneva Street  ,Register of Non-Designated Heritage Properties
344 Glendale Avenue  ,Register of Non-Designated Heritage Properties
6 Great Western Street  ,Register of Non-Designated Heritage Properties
9 Helliwell's  Lane  ,Register of Non-Designated Heritage Properties
164 King Street  ,Register of Non-Designated Heritage Properties
171 King Street  ,Register of Non-Designated Heritage Properties
173 King Street  ,Register of Non-Designated Heritage Properties
175 King Street  ,Register of Non-Designated Heritage Properties
28 Lake Street  ,Register of Non-Designated Heritage Properties
46 Lake Street  ,Register of Non-Designated Heritage Properties
347 Lakeshore Road  ,Register of Non-Designated Heritage Properties
57 Lakeshore Road  ,Register of Non-Designated Heritage Properties
61 Lakeshore Road  ,Register of Non-Designated Heritage Properties
215 Merritt Street  ,Register of Non-Designated Heritage Properties
284 Merritt Street  ,Register of Non-Designated Heritage Properties
10 Montebello Place  ,Register of Non-Designated Heritage Properties
12 Montebello Place  ,Register of Non-Designated Heritage Properties
14 Montebello Place  ,Register of Non-Designated Heritage Properties
16 Niagara Street  ,Register of Non-Designated Heritage Properties
18 Niagara Street  ,Register of Non-Designated Heritage Properties
115 Oakdale Avenue  ,Register of Non-Designated Heritage Properties
80 Oakdale Avenue  ,Register of Non-Designated Heritage Properties
82 Oakdale Avenue  ,Register of Non-Designated Heritage Properties
23 Ontario Street  ,Register of Non-Designated Heritage Properties
26 Ontario Street  ,Register of Non-Designated Heritage Properties
37 Ontario Street  ,Register of Non-Designated Heritage Properties
44 Ontario Street  ,Register of Non-Designated Heritage Properties
46 Ontario Street  ,Register of Non-Designated Heritage Properties
77 Ontario Street  ,Register of Non-Designated Heritage Properties
83 Ontario Street  ,Register of Non-Designated Heritage Properties
53 Queen Street  ,Register of Non-Designated Heritage Properties
59 Queen Street  ,Register of Non-Designated Heritage Properties
64 Queen Street  ,Register of Non-Designated Heritage Properties
22 Queenston Street  ,Register of Non-Designated Heritage Properties
24 Queenston Street  ,Register of Non-Designated Heritage Properties
301 Queenston Street  ,Register of Non-Designated Heritage Properties
362 Queenston Street  ,Register of Non-Designated Heritage Properties
10 Rockdale Avenue  ,Register of Non-Designated Heritage Properties
57 Simpson Road  ,Register of Non-Designated Heritage Properties
109 St Paul Cres  ,Register of Non-Designated Heritage Properties
1660 St Paul Street W ,Register of Non-Designated Heritage Properties
101 St Paul Street  ,Register of Non-Designated Heritage Properties
117 St Paul Street  ,Register of Non-Designated Heritage Properties
198 St Paul Street  ,Register of Non-Designated Heritage Properties
220 St Paul Street  ,Register of Non-Designated Heritage Properties
241 St Paul Street  ,Register of Non-Designated Heritage Properties
249 St Paul Street  ,Register of Non-Designated Heritage Properties
28 St Paul Street  ,Register of Non-Designated Heritage Properties
32 St Paul Street  ,Register of Non-Designated Heritage Properties
321 St Paul Street  ,Register of Non-Designated Heritage Properties
40 St Paul Street  ,Register of Non-Designated Heritage Properties
86 St Paul Street  ,Register of Non-Designated Heritage Properties
193 Vine Street  ,Register of Non-Designated Heritage Properties
260 Vine Street  ,Register of Non-Designated Heritage Properties
148/ Welland Avenue  ,Register of Non-Designated Heritage Properties
15 Welland Avenue  ,Register of Non-Designated Heritage Properties
72 Welland Avenue  ,Register of Non-Designated Heritage Properties
94 Welland Avenue  ,Register of Non-Designated Heritage Properties
96 Welland Avenue  ,Register of Non-Designated Heritage Properties
98 Welland Avenue  ,Register of Non-Designated Heritage Properties
5 William Street  ,Register of Non-Designated Heritage Properties
22 Academy Street  ,Individually Designated Heritage Properties 
135 Bradley Street  ,Individually Designated Heritage Properties 
77 Bradley Street  ,Individually Designated Heritage Properties 
134 Church Street  ,Individually Designated Heritage Properties 
50 Church Street  ,Individually Designated Heritage Properties 
95 Church Street  ,Individually Designated Heritage Properties 
38 Court Street  ,Individually Designated Heritage Properties 
40 Court Street  ,Individually Designated Heritage Properties 
42 Court Street  ,Individually Designated Heritage Properties 
2714 Decew Road  ,Individually Designated Heritage Properties 
2716 Decew Road  ,Individually Designated Heritage Properties 
29 Edmund Street  ,Individually Designated Heritage Properties 
92 Geneva Street  ,Individually Designated Heritage Properties 
29 Henry Street  ,Individually Designated Heritage Properties 
101 King Street  ,Individually Designated Heritage Properties 
145 King Street  ,Individually Designated Heritage Properties 
183 King Street  ,Individually Designated Heritage Properties 
113 Lake Street  ,Individually Designated Heritage Properties 
81 Lake Street  ,Individually Designated Heritage Properties 
1258 Lakeshore Road W ,Individually Designated Heritage Properties 
108 Louisa Street  ,Individually Designated Heritage Properties 
113 Louisa Street  ,Individually Designated Heritage Properties 
18 Merritt Street  ,Individually Designated Heritage Properties 
343 Merritt Street  ,Individually Designated Heritage Properties 
344 Merritt Street  ,Individually Designated Heritage Properties 
159 Moffatt Street  ,Individually Designated Heritage Properties 
51 Mountain Street  ,Individually Designated Heritage Properties 
